enumeration,value
CC(*)C*,2.61
FC(*)C*,3.36
*C(F)(F)C*,3.37
C(F)(*)(C(F)*)F,3.06
FC(C(*)(F)F)(CC*)F,3.08
*OC*,3.72
*OCC*,3.15
O(C(C*)C(F)(F)F)*,2.7
C(CC*)O*,3.03
C(c1ccc(*)cc1)c1ccc(O*)cc1,3.5
C(OCO*)CCCC*,3.06
N(CCOCCOCCNC(OCC*)=O)C(O*)=O,3.53
c1c2c(nc(*)o2)cc2nc(-c3ccc(*)cc3)oc12,5.68
c1c(S*)ccc(*)c1,4.15
C(CCCC(=O)O*)C(OCC*)=O,3.25
C(CCCCCC(O*)=O)C(OCC*)=O,3.16
c1(C(OCC*)=O)ccc(C(=O)O*)cc1,3.82
c1cc(C(=O)OCCCC*)ccc1C(O*)=O,3.59
O=C(O*)C*,3.99
C(C(=O)O*)CCCC*,3.12
C(CC*)(=O)O*,3.39
*Oc1ccc(CC(=O)*)cc1,3.52
*Cc1ccc(C(=O)O*)cc1,4.03
C(CC*)(=O)N*,3.61
C(C(N*)=O)CCCCC*,3.34
O=C(N*)C*,4.01
c1(C(=O)*)cc(N*)ccc1,4.43
*Cc1ccc(C(=O)N*)cc1,3.96
C(Nc1cc(NC(OCCCCC*)=O)ccc1C)(=O)O*,3.72
O=C1N(CCCCCC*)C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(*)C4=O)=O)cc21,3.79
*OC(=O)c1ccc(C(=O)*)cc1,5.0
O(C(O*)=O)CCCCC*,3.09
*Oc1ccc(OC(=O)*)cc1,3.95
C(CC*)N*,3.03
*c1ccc(C(=O)c2ccc(O*)cc2)cc1,4.32
c1c(*)ccc(*)c1,4.48
c1(-c2ccc(*)cc2)ccc(CC*)cc1,3.58
*OC1C(CO)OC(*)C(O)C1O,3.78
C(O*)c1ccc(C*)cc1,3.47
O(C(O*)=O)CCOCC*,3.32
C(F)(F)(C(C(F)(F)F)(CC*)O*)F,3.05
O=C(*)c1ccc(-c2ccc(O*)cc2)cc1,4.1
c1c(N*)ccc(*)c1,5.52
c1cc(*)nc(*)c1,4.35
c1(C(CC(CC(c2ccccc2)CC(c2ccccc2)C*)c2ccccc2)*)ccccc1,2.71
c12oc(*)nc1ccc(-c1oc3ccc(*)cc3n1)c2,4.77
c1(C*)ccc(C*)cc1,3.97
C(CCCC(=O)OCCCC(OCCCCCCCCC(OCCC*)=O)=O)CCCCOC(=O)*,3.05
*C(CC(CC(c1ccccn1)C*)c1ccccn1)c1ccccn1,3.19
s1c(-c2sc(O*)cc2)ccc1-c1ccc(*)s1,5.59
c1c(-c2ccc(*)s2)sc(OC(*)=S)c1,5.88
C(=S)(c1sc(O*)cc1)c1ccc(*)s1,4.89
*C(OC(c1ccc(*)s1)=S)=S,6.22
O(c1sc(*)cc1)c1sc(O*)cc1,3.9
c1cc(*)sc1OC(=S)O*,4.48
s1c(*)ccc1-c1sc(-c2ccc(-c3ccc(*)cc3)s2)cc1,8.85
*c1ccc(-c2sc(-c3sc(O*)cc3)cc2)cc1,5.17
