enumeration,value
CC(*)C*,0.4343
FC(*)C*,0.8740000000000001
*C(F)(F)C*,1.1415
C(F)(*)(C(F)*)F,1.524
FC(C(*)(F)F)(CC*)F,0.4489
*OC*,0.9897
*OCC*,0.3936
O(C(C*)C(F)(F)F)*,0.7546
C(CC*)O*,0.5672
C(c1ccc(*)cc1)c1ccc(O*)cc1,1.1795
C(OCO*)CCCC*,0.5413
N(CCOCCOCCNC(OCC*)=O)C(O*)=O,0.573
c1c2c(nc(*)o2)cc2nc(-c3ccc(*)cc3)oc12,3.0398
C(CCS*)CC*,0.5118
c1c(S*)ccc(*)c1,2.0372
C(CCCC(=O)O*)C(OCC*)=O,1.0754
C(CCCCCC(O*)=O)C(OCC*)=O,0.8924
c1(C(OCC*)=O)ccc(C(=O)O*)cc1,2.2723
c1cc(C(=O)OCCCC*)ccc1C(O*)=O,2.4936
O=C(O*)C*,1.2063
C(C(=O)O*)CCCC*,0.5062
C(CC*)(=O)O*,0.7562
*Oc1ccc(CC(=O)*)cc1,1.5033
*Cc1ccc(C(=O)O*)cc1,2.2574
C(CC*)(=O)N*,1.1904
C(C(N*)=O)CCCCC*,0.6934
O=C(N*)C*,0.7672
c1(C(=O)*)cc(N*)ccc1,2.356
*Cc1ccc(C(=O)N*)cc1,1.8315
C(Nc1cc(NC(OCCCCC*)=O)ccc1C)(=O)O*,0.9199
*OC(=O)c1ccc(C(=O)*)cc1,3.2451
*Oc1ccc(OC(=O)*)cc1,1.4499
C(CC*)N*,0.5296
*c1ccc(C(=O)c2ccc(O*)cc2)cc1,2.4594
c1c(*)ccc(*)c1,2.6013
c1(-c2ccc(*)cc2)ccc(CC*)cc1,1.482
*OC1C(CO)OC(*)C(O)C1O,0.8344
C(O*)c1ccc(C*)cc1,1.6106
O(C(O*)=O)CCOCC*,0.4954
C(F)(F)(C(C(F)(F)F)(CC*)O*)F,0.4911
c1cc(*)sc1*,2.9681
O=C(*)c1ccc(-c2ccc(O*)cc2)cc1,2.4015
c1c(N*)ccc(*)c1,0.9827
c1cc(*)nc(*)c1,2.2143
c1(C(CC(CC(c2ccccc2)CC(c2ccccc2)C*)c2ccccc2)*)ccccc1,1.5606
*c1sc(-c2ccc(*)s2)cc1,2.9681
c12oc(*)nc1ccc(-c1oc3ccc(*)cc3n1)c2,3.155
c1(C*)ccc(C*)cc1,0.8499
C(CCCC(=O)OCCCC(OCCCCCCCCC(OCCC*)=O)=O)CCCCOC(=O)*,0.7602
*C(CC(CC(c1ccccn1)C*)c1ccccn1)c1ccccn1,1.1922
c1(*)sc(-c2ccc(-c3sc(C(*)=S)cc3)s2)cc1,3.9365
s1c(-c2sc(O*)cc2)ccc1-c1ccc(*)s1,2.4093
c1c(-c2ccc(*)s2)sc(OC(*)=S)c1,3.2944
C(=S)(c1sc(O*)cc1)c1ccc(*)s1,3.4574
*C(OC(c1ccc(*)s1)=S)=S,4.0075
O(c1sc(*)cc1)c1sc(O*)cc1,1.3443
c1cc(*)sc1OC(=S)O*,2.5249
s1c(*)ccc1-c1sc(-c2ccc(-c3ccc(*)cc3)s2)cc1,2.752
*c1ccc(-c2sc(-c3sc(O*)cc3)cc2)cc1,1.7103
c1(*)ccc(-c2ccc(-c3ccc(-c4ccc(*)cc4)s3)cc2)s1,2.3385
c1c(*)ccc(-c2ccc(-c3ccc(C(*)=S)cc3)s2)c1,3.3503
c1cc(-c2sc(-c3ccc(O*)cc3)cc2)ccc1*,1.8588
*c1sc(C(=S)c2ccc(-c3ccc(*)cc3)s2)cc1,3.6267
*c1ccc(Oc2ccc(-c3ccc(*)cc3)s2)s1,2.1082
c1c(-c2ccc(*)cc2)sc(OC(*)=S)c1,2.8418
c1cc(-c2ccc(-c3sc(O*)cc3)cc2)ccc1*,1.8969999999999998
c1c(*)sc(-c2ccc(-c3ccc(-c4ccc(*)cc4)cc3)cc2)c1,2.2963
c1cc(*)ccc1-c1ccc(-c2ccc(C(*)=S)cc2)cc1,3.0264
c1c(-c2ccc(-c3ccc(O*)cc3)cc2)ccc(*)c1,1.6576
*c1ccc(-c2ccc(C(=S)O*)cc2)cc1,2.7321
c1(*)ccc(C(c2sc(C(*)=S)cc2)=S)cc1,4.1807
C(=S)(c1sc(O*)cc1)c1ccc(*)cc1,3.2177
c1cc(C(*)=S)ccc1C(c1ccc(*)cc1)=S,2.9311
*c1ccc(C(=S)c2ccc(O*)cc2)cc1,3.1315
*C(OC(c1ccc(*)cc1)=S)=S,3.7508
O(c1ccc(*)cc1)c1sc(O*)cc1,1.2264
C(=S)(Oc1ccc(*)cc1)c1ccc(*)s1,3.1094
*OC(=S)Oc1ccc(*)cc1,1.8722
s1c(-c2sc(C*)cc2)ccc1-c1ccc(*)s1,2.0787
c1(-c2sc(C*)cc2)ccc(C(*)=S)s1,3.2587
c1(-c2sc(C*)cc2)ccc(O*)s1,1.7705
*c1ccc(-c2ccc(-c3sc(C*)cc3)cc2)s1,1.9244
c1(-c2sc(C*)cc2)ccc(C(*)=S)cc1,2.9754
c1(-c2sc(C*)cc2)ccc(O*)cc1,1.4385
C(c1sc(*)cc1)c1sc(C*)cc1,1.1740000000000002
C(C(=S)*)c1sc(C*)cc1,2.588
C(=O)(c1sc(C*)cc1)c1ccc(*)s1,2.8498
*Cc1sc(C(=O)C(*)=S)cc1,3.3428
C(=O)(c1sc(C*)cc1)O*,2.358
C(=S)(c1sc(C*)cc1)c1ccc(*)s1,3.3843
C(=S)(c1sc(C*)cc1)O*,2.9654
N(c1sc(*)cc1)c1sc(C*)cc1,1.1194
N(C(=S)*)c1sc(C*)cc1,2.0497
c1(NO*)ccc(C*)s1,1.3873
O(c1sc(*)cc1)c1sc(C*)cc1,1.2199
O(C(=S)*)c1sc(C*)cc1,2.3956
*c1ccc(-c2sc(-c3ccc(C*)cc3)cc2)s1,1.9547
c1cc(-c2sc(-c3ccc(C*)cc3)cc2)ccc1*,1.8331
c1(-c2ccc(C*)cc2)ccc(C(*)=S)s1,3.0651
s1c(-c2ccc(-c3ccc(C*)cc3)cc2)ccc1*,1.8119999999999998
c1c(-c2ccc(-c3ccc(C*)cc3)cc2)ccc(*)c1,1.7487
S=C(*)c1ccc(-c2ccc(C*)cc2)cc1,2.7075
C(c1sc(*)cc1)c1ccc(C*)cc1,0.9966
C(c1ccc(*)cc1)c1ccc(C*)cc1,1.0649
*Cc1ccc(CC(=S)*)cc1,2.6743
C(=O)(c1ccc(C*)cc1)c1ccc(*)s1,2.5375
*c1ccc(C(=O)c2ccc(C*)cc2)cc1,2.314
*Cc1ccc(C(=O)C(=S)*)cc1,3.3639
C(=S)(c1ccc(C*)cc1)c1ccc(*)s1,3.0211
*c1ccc(C(=S)c2ccc(C*)cc2)cc1,2.8739999999999997
*Cc1ccc(C(=S)O*)cc1,2.8319
N(c1sc(*)cc1)c1ccc(C*)cc1,0.9705
N(c1ccc(*)cc1)c1ccc(C*)cc1,0.9546
*Cc1ccc(NC(=S)*)cc1,2.0656
N(O*)c1ccc(C*)cc1,0.7333
O(c1sc(*)cc1)c1ccc(C*)cc1,1.0627
*Cc1ccc(OC(=S)*)cc1,2.2773
c1(-c2sc(*)cc2)sc(CC*)cc1,1.9411
c1(C(=S)*)sc(CC*)cc1,3.3272
c1c(O*)sc(CC*)c1,0.6627
c1(-c2sc(*)cc2)ccc(CC*)cc1,1.6982
*CCc1ccc(C(=S)*)cc1,3.1161
c1(O*)ccc(CC*)cc1,0.7536
c1cc(*)sc1CCC*,0.9489
c1c(*)ccc(CCC*)c1,0.9937
C(CC*)C(=O)*,1.2346
C(CC*)C(=S)*,2.3997
c1cc(*)sc1C(CC*)=O,2.6933
*CCC(c1ccc(*)cc1)=O,2.3583
C(=O)(CC*)C(=S)*,3.1911
C(CC*)(=S)O*,2.069
c1cc(*)sc1NCC*,0.6915
c1c(*)ccc(NCC*)c1,0.6326
N(CC*)C(=S)*,1.6837
O(CC*)N*,0.6058
c1c(-c2ccc(*)s2)sc(C(=O)C*)c1,2.8128
c1c(-c2ccc(*)cc2)sc(C(=O)C*)c1,2.6784
*CC(=O)c1sc(C(*)=O)cc1,3.1941
*CC(=O)c1sc(C(*)=S)cc1,3.6254
c1c(O*)sc(C(=O)C*)c1,2.4711
c1c(-c2ccc(*)s2)ccc(C(=O)C*)c1,2.4129
*c1ccc(-c2ccc(C(=O)C*)cc2)cc1,2.336
*CC(=O)c1ccc(C(=O)*)cc1,2.7979
*CC(=O)c1ccc(C(=S)*)cc1,3.7473
*CC(=O)c1ccc(O*)cc1,2.3793
c1cc(*)sc1CC(=O)C*,1.6069
*CC(=O)Cc1ccc(*)cc1,1.8209
O=C(CC(=O)*)C*,1.5258
O=C(CC(=S)*)C*,3.0632
O=C(CO*)C*,1.6393
*CC(=O)C(c1ccc(*)s1)=S,3.7805
*CC(=O)C(c1ccc(*)cc1)=S,3.6382
O=C(C(C(*)=O)=S)C*,4.8698
O=C(C(O*)=S)C*,2.8847
c1cc(*)sc1NC(=O)C*,1.3272
*CC(=O)Nc1ccc(*)cc1,1.369
O=C(NC(=O)*)C*,1.5835
O=C(NC(=S)*)C*,2.9562
c1cc(*)sc1OC(=O)C*,1.4534
O=C(OC(=O)*)C*,2.2158
O=C(OC(=S)*)C*,3.1169
*CC(=S)c1sc(C(*)=S)cc1,2.8676
c1c(O*)sc(C(=S)C*)c1,3.1310000000000002
*CC(=S)c1ccc(C(=S)*)cc1,2.9742
*CC(=S)c1ccc(N*)cc1,3.0309
*CC(=S)c1ccc(O*)cc1,3.1915
S=C(CO*)C*,2.5664
S=C(C(O*)=O)C*,3.8755
S=C(NO*)C*,2.2076
