enumeration,value
CC(*)C*,7.6997
*C(CC)C*,7.9012
*C(CCC)C*,7.2705
C1CC(*)CC1C*,7.9703
*CC(*)CCCC1CCCCC1,7.5725
CC(*)*,7.4047
*C=C*,0.9567
C(CCC*)C=C*,5.7962
C1CC(*)C1*,6.5419
*C1(C*)CCCCC1,7.3387
C(COC(=O)c1ccc(C(*)C*)cc1)(C)C,4.8032
OC(*)C*,7.5488
*C(C#N)C*,7.4435
*C(C)(C*)C#N,7.1863
*C(OC(=O)C)C*,5.9373
*CC(*)CCc1ccc(C)cc1,4.5772
C(O)(*)C(C)*,7.9156
O(C(F)(F)F)C(F)(*)C(*)F,7.8020000000000005
c1(C(=O)C(*)C*)ccc(CC)cc1,3.9853
FC(F)(C(F)(C(=O)OC(*)C*)F)C(F)(F)F,6.0228
*CC(*)OC(CC1CCCC1)=O,6.4741
C1CCC(=O)N1C(*)C*,5.5902
*C(C(O)=O)C*,6.1071
O=C(OC(C)C)C(*)C*,6.455
FC(F)(C(F)(F)F)C(F)(F)C(F)(COC(=O)C(*)C*)F,6.4578
FC(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(COC(=O)C(*)C*)(F)F)(F)F,5.7185
C(=O)(OCC)C(*)(C)C*,6.2424
O=C(Oc1ccccc1)C(*)(C)C*,4.8118
O=C(OCCc1ccccc1)C(*)(C)C*,4.9946
O=C(OCC(F)(F)C(F)F)C(*)(C)C*,5.3983
FC(F)(F)C(OC(=O)C(*)(C)C*)C(F)(F)F,5.3218
FC(F)(F)C(C(F)(F)F)(F)OC(=O)C(*)(C)C*,6.1125
*CC(*)(C(OCCOCC)=O)C,5.9514
*C(C(=O)N)C*,6.3764
*CC(*)C(OC(CC)CC)=O,6.2722
*C(C(OCF)=O)C*,6.1736
*CC(*)C(OCCCCSC)=O,5.1007
*CC(*)C(OCCCSCC)=O,5.1212
O(CCSCCCC#N)C(=O)C(*)C*,5.1226
*CC(*)(C(OCCC#N)=O)C,6.2508
C(OC(=O)C(*)C*)C(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)F,6.0236
C(=O)(C(*)(C#N)C*)OCC,6.1989
O(C)C(C(CC*)C(*)C(=O)OC)=O,6.3252
*CC(C(=O)OC(C)C)(*)C#N,5.8301
O=C1OC(=O)C(*)C1*,6.0081
FC(*)C*,8.3099
C(F)(*)(C(F)*)F,6.8451
FC(C(*)(Cl)F)(CC*)F,7.4828
FC(C(*)(F)F)(CC*)F,9.1316
FC1(F)C(F)(F)C(*)(F)C(F)(F)C1(F)C(F)(*)F,6.9544
C(Cl)(CC*)C(Cl)*,6.4523
C(F)(F)(C(C(F)(F)F)(C=C*)C*)F,5.7329
C(C=C*)(C*)CCC,5.7469
C1=CC(*)CCC1*,5.4843
*C(C(OCCCC)=O)C(C=C*)C,5.4974
*OC*,8.7732
*C(CCC#N)O*,6.9611
*OCC*,6.2206
CC(O*)C*,6.9903
O(C(C*)C(F)(F)F)*,7.4158
FC(F)(O*)C(F)(*)F,10.1137
C(CC*)O*,7.4889
C(c1ccc(*)cc1)c1ccc(O*)cc1,4.3787
C(OCO*)CCCC*,6.8354
S(Sc1ccc(O*)cc1)CCCCCCCCCCSSc1ccc(*)cc1,4.2235
FC(F)(C(F)(F)O*)C(F)(C(F)(*)F)F,8.7307
CC(CO*)C*,7.3501
N(CCOCCOCCNC(OCC*)=O)C(O*)=O,6.4585
C1C(CO*)C1C*,6.9566
C(CCCCC(OCCOCCOCC*)=O)C(O*)=O,5.5157
C(CCCCCC(OCCOCCOCC*)=O)C(O*)=O,6.184
C(CCCC(O*)=O)S(=O)(CCCCC(OCCOCC*)=O)=O,5.7504
FC(F)(*)C(N(C(F)(F)F)O*)(C(F)(F)F)F,7.0955
ClC(F)(F)C1(C(F)(F)F)OC(*)(F)C(F)(*)O1,7.8208
FC(C1(C(F)(F)F)OC(F)(*)C(*)O1)(F)F,8.0982
*SC*,4.8805
C(CCS*)CC*,4.989
S(CCS*)CCCC*,4.9438
*CCCCCCSCCS*,5.0604
C(SSCCCCSS*)CCCCC*,4.2836
C(CCCSCCCCCCCCCC*)CCS*,5.52
N(CCSCCCCSCCNC(OCC*)=O)C(O*)=O,5.1094
S(CCSCCNC(=O)OCCCCCC*)CCNC(O*)=O,4.7777
O(CCCCCC*)C(NCCSCCCCCSCCNC(O*)=O)=O,5.1327
C1C(S*)CC(*)CC1,5.2199
O(CC1CCC(C*)CC1)C(NCCSCCCSCCNC(=O)O*)=O,5.0712
O(CC1CCC(C*)CC1)C(NCCSCCCCCSCCNC(=O)O*)=O,5.4414
c1c(S*)ccc(*)c1,3.1848
*SCCc1ccc(Cc2ccc(CC*)cc2)cc1,4.3552
N1(C(SSCCCCSSC(=O)N2CCC(*)CC2)=O)CCC(CCC*)CC1,4.297
C(CC(OCCCCCCCCCC*)=O)C(O*)=O,6.6201
C(CCCC(=O)O*)C(OCC*)=O,6.7769
C(CCCC(OCCCCCCCCCC*)=O)C(O*)=O,6.718
C(CCCCCC(O*)=O)C(OCC*)=O,6.8383
C(CCCCCC(=O)OCCC*)C(O*)=O,6.4907
c1(C(OCC*)=O)ccc(C(=O)O*)cc1,3.8637
c1cc(C(=O)OCCCC*)ccc1C(O*)=O,4.0149
C(C(=O)S*)CCCC*,5.0001
O=C(O*)C*,6.5712
C(C(=O)O*)CCCC*,7.0558
C(CCCCCC(O*)=O)CCCCC*,6.8377
C(CCCCCCCCC*)OC(CCCCCCCCCCCCCCCCC(O*)=O)=O,6.0542
O=C(O*)c1ccc(C(=O)OCC(C)C(C)C*)cc1,4.2335
c1cc(C(OCC(CCC)C(CCC)C*)=O)ccc1C(=O)O*,4.4708
C(CC*)(=O)O*,6.684
CC(C(O*)=O)C*,6.5897
C(CCCCCCCCCC(=O)OCCC*)C(O*)=O,6.3683
CC(C(c1ccc(OC)cc1)O*)(C(=O)*)C,4.5832
*OC(=O)C1CCC(C(OCC2CCC(C*)CC2)=O)CC1,6.4924
C(=O)(O*)c1cccc(C(OCC2CC2C*)=O)c1,4.4908
C(=O)(OCC(C)O*)CCCCC(=O)*,6.5974
C1(C(OCC*)=O)CCC(C(=O)O*)CC1,6.4481
*Oc1ccc(CC(=O)*)cc1,4.6878
ClCC(C(O*)=O)(CCl)C*,6.1969
C(CCCC(OCC(F)(F)C(F)(F)C(F)(F)C*)=O)C(O*)=O,6.2672
C(CCCC(OCC(C)(C)C*)=O)C(O*)=O,6.5878
C(CCS(=O)(CCCCC(OCCC(C)O*)=O)=O)CC(=O)*,6.2709
C(CCC(OCC(F)(F)C(F)(F)C(F)(F)C*)=O)C(O*)=O,5.7563
C1CC(C(=O)OCCCC*)CCC1C(O*)=O,6.5835
C(CCS(CCCCC(=O)OCC(C)O*)(=O)=O)CC(=O)*,6.4017
*Cc1ccc(C(=O)O*)cc1,3.7934
C(CC*)(=O)N*,6.2028
C(CCCCCCC(=O)NCCCCCC*)CCCC(N*)=O,6.3994
C(C(N*)=O)CCCCC*,5.9361
N(CC1CCC(C*)CC1)C(c1cc(C(N*)=O)cc(C(C)(C)C)c1)=O,5.1615
C(c1cc(C(NCCC(C)C(CC*)C)=O)ccc1)(=O)N*,4.7199
O=C(N*)C*,5.7289
c1(C(=O)*)cc(N*)ccc1,3.2399
*Cc1ccc(C(=O)N*)cc1,4.2448
c1(C(NCCCCCCCCCCC*)=O)ccc(C(=O)N*)cc1,4.2139999999999995
O=C(CCCCCC(NCC1CCC(C*)CC1)=O)N*,5.2823
N(C(C1C(C(N*)=O)C1)=O)CC1CC1C*,5.6374
N(C(CNC(=O)CNC(=O)C(C)N*)=O)CC(*)=O,5.4756
c1cc(C(*)=O)ccc1C(N1CCN(*)CC1)=O,4.7036
C(C(=O)NC(C(C)C)C(NC(C(C)C)C(*)=O)=O)(NC(=O)C(C)N*)C,5.8867
C1C(C(=O)*)C(N*)CC1,6.4002
C(CCCCCC(=O)NNC(=O)C(NN*)=O)CC(=O)*,3.7266
C(C(CCCCCCCCCCCC)C(N*)=O)(NCCCCC*)=O,6.2733
C(C(=O)NCCC*)CCCCCCC(=O)NCCCNC(=O)C(N*)=O,4.6809
c1c(S(c2cc(C(Nc3ccc(-c4ccc(N*)cc4)cc3)=O)cc(C(=O)*)c2)(=O)=O)cccc1,2.4795
N(CCCCCCCCCCNC(OCC*)=O)C(O*)=O,6.6421
N(C(O*)=O)CCCNC(=O)OCCCCCC*,6.5954
FC(F)(C(F)(C(CNC(OCC(C(F)(F)C(F)(F)C*)(F)F)=O)(F)F)F)C(CNC(O*)=O)(F)F,6.4326
C(Nc1cc(NC(OCCCCC*)=O)ccc1C)(=O)O*,4.5288
C(Nc1cc(NC(OCC2CC2C*)=O)ccc1C)(=O)O*,4.7181
C1N(*)CCN(C(OCC(C)(C)COC(*)=O)=O)C1,6.4401
O=C(Nc1ccc(NC(OCC(C)(C)C*)=O)cc1)O*,4.4894
C1CN(C(=O)OCCCCOC(*)=O)CCN1*,6.4265
c1(NC(=O)OCC*)ccc(C(C)(c2ccc(NC(O*)=O)cc2)C)cc1,4.3346
*N1CCN(C(=O)OC2CCC(OC(*)=O)CC2)CC1,6.2573
N(C(=O)C1C(C(NC(OCCCCC*)=O)=O)C1)C(O*)=O,5.4301
c1cc(Sc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)ccc1*,2.3234
*OC(=O)c1ccc(C(=O)*)cc1,3.1295
C(CC(*)=O)CCCCCCCCCCC(=O)O*,5.2681
C1(OC(*)=O)C(C)(C)C(O*)C1(C)C,6.9495
O(C(O*)=O)CCCCC*,7.122999999999999
*Oc1ccc(OC(=O)*)cc1,4.3251
c12c(cc3nc(-c4ccccc4)c(-c4cc(*)ccc4)nc3c1)nc(-c1ccccc1)c(*)n2,1.9959
C(CC*)N*,6.381
*c1ccc(C(=O)c2ccc(O*)cc2)cc1,3.1383
c1(-c2ccc(*)cc2)ccc(CC*)cc1,3.7492
*CCC1C2C(C(*)C1)CCC2,7.4997
CC1C2CC(C1)C(*)C2*,6.7713
*C1C2C(C(CC*)C1)C1C(CC)CC2C1,7.528
C1(CC*)CCC(*)C1,7.9915
*CC(*)OC(OCC(F)(F)F)=O,7.9003
*C(C#N)=C*,0.5068
FC(*)=C*,0.3906
C(C(C#N)*)CC*,7.4859
*C(Cl)(C*)C#N,5.8652
*C=CC(CC(C*)C#N)(C)C,5.2738
*C(CO)C*,7.4192
c1c(C(*)=C(c2cnc3ccccc3c2)C#C*)cc2c(cccc2)n1,0.5725
*C=CC1CC(CC)(C#N)C(*)C1,5.5315
*C1C(CCC)(C#N)CC(C=C*)C1,5.8705
C(C)(C)(C)NCCOC(=O)C1CC(C=C*)CC1*,4.7904
N#CC(*)(C(C#N)(C#N)C(OCC)C*)C(OC)=O,5.4071
O=C(NCCO)C(*)C*,5.7124
O=C(OC1(C)CC(=O)OCC1)C(*)(C)C*,5.9976
O=C(OCCC1CCCCC1)C(*)(C)C*,6.5993
OC(C(O)C(C(CO)O)OC1C(O)C(O)C(O)C(CO)O1)CNC(=O)C1C2C(*)C(*)C(C1)C2,5.6407
N(c1c(Cl)cccc1)C(=O)C(*)C*,4.2427
O=C(OCC(N1CCCC1)=O)C(*)(C)C*,5.3385
*CCCCCCC(C(Cl)*)Cl,6.7965
FC1(F)C(F)(F)C(F)(F)C(F)(C(F)(*)F)C(F)(F)C(*)(F)C1(F)F,7.542999999999999
*CCCCCCCCC(Cl)*,6.86
CC(C)(C1=CC(*)C2CC=CCC12)*,4.8262
*C=CC1C2C(C(*)C1)CC=C2,5.6741
c12c(cc(*)cc1)C(CC(CCCC)CC)(CC(CC)CCCC)c1cc(*)ccc1-2,2.85
*C1C2C(C(C=C*)C1)C1CCC2C1,5.7656
*OC1C(CO)OC(*)C(O)C1O,7.4757
FC(F)(N(C(Cl)(C(*)(F)F)F)O*)F,6.6835
*OC(F)(C(F)(F)C(*)(F)F)F,9.1214
C(O*)c1ccc(C*)cc1,4.8019
O(C(O*)=O)CCOCC*,6.6617
C1OC2C(*)COC2C1OC(=O)O*,6.6786
C(F)(F)(C(C(F)(F)F)(CC*)O*)F,8.3878
C(CCOC(=O)O*)CCCCCCCOC(=O)OC1C2C(C(*)CO2)OC1,6.1689
C1(*)C2C(C(OC(OCCOCCOC(=O)O*)=O)CO2)OC1,6.5378
c1c(-c2ccc(-c3sc(*)cc3)s2)sc(-c2n(CCCCCCCCCCCC)c(*)cc2)c1,2.1442
s1c(-c2nc(*)ccc2)ccc1-c1ccc(*)s1,2.0464
c1(C#N)cc(*)sc1*,1.0894
c1(*)sc(C=c2sc(=c3sc(=C*)cc3)cc2)cc1,1.224
C(CCC1c2cc(*)sc2-c2sc(*)cc21)CCCN,1.3223
Cc1cc(-c2sc(*)c(C)c2)sc1-c1c2cccccc-2c(*)c1,1.3327
O(C(CC(=O)O*)=O)CCCCC*,6.4679
CC(C)CC(C(=O)*)O*,5.8529
c12c(cccc1)C(c1cc(C)c(OC(c3cc(C(=O)*)ccc3)=O)cc1)(c1ccc(O*)c(C)c1)c1ccccc1-2,3.0176
*C(=O)CC(C1OC1)O*,6.1493
O=C(*)c1ccc(-c2ccc(O*)cc2)cc1,3.0847
C(CCC=C)CCCC(CC(=O)*)O*,5.5852
C(C(=O)O*)C(CC*)C,6.7489
C(c1ccc(C(=O)*)cc1)(Oc1cc(C2CCCCCCC2)c(O*)cc1)=O,3.1917
C1(C(O*)=O)C(C(OCC*)=O)C2CC1C=C2,5.3661
c1(NC(c2cc(N3C(=O)C=CC3=O)cc(C(=O)*)c2)=O)ccc(Cc2ccc(N*)cc2)cc1,2.0738
c1c(Br)ccc(N*)c1-c1ccc(NC(=O)c2ccc(C(=O)*)cc2)cc1,2.9894
C(c1cc(NC(c2ccncc2)=O)cc(C(*)=O)c1)(Nc1ccc(N*)cc1)=O,2.9949
N(C(N*)=S)CCCCC*,4.3365
C(CCCCCCCN1C(=O)C2C(C(*)CC2C=C*)C1=O)C,5.104
C1(c2cc(Cl)c(O*)c(Cl)c2)(c2cc(Cl)c(OC(=O)*)c(Cl)c2)C2CCC(C2)C1,4.6838
C(OCCCCCOC(OC1CCC(O*)CC1)=O)(*)=O,6.0614
C(OCCCCCCOC(OC1CCC(O*)CC1)=O)(*)=O,7.0127
O=C(*)Oc1ccc(C(CC)c2ccc(O*)cc2)cc1,4.7325
c1c(N*)ccc(*)c1,2.3603
c1cc(*)nc(*)c1,2.9424
c1(*)ccc(C=C*)n1CCCCCC,1.3683
C(C(OC(=O)CCn1c(*)ccc1*)C)(=O)OCC,2.05
c1cc(C(c2ccccc2)=C(*)C#N)ccc1*,2.5883
C(F)(C(F)(C(C(F)(F)C(C(CCOC(=O)C(*)(F)C*)(F)F)(F)F)(F)F)F)(F)C(F)(F)C(F)(F)F,5.7714
*C(F)(C*)C#N,7.0615
FC(C(F)(F)COC(=O)C(*)(F)C*)(C(F)(F)F)F,6.2862
c1(C(CC(CC(c2ccccc2)CC(c2ccccc2)C*)c2ccccc2)*)ccccc1,4.8255
*c1sc(-c2ccc(*)s2)cc1,0.9894
c12oc(*)nc1ccc(-c1oc3ccc(*)cc3n1)c2,2.5367
c1(C*)ccc(C*)cc1,2.5648
C(CCCC(=O)OCCCC(OCCCCCCCCC(OCCC*)=O)=O)CCCCOC(=O)*,6.5329
*C(CC(CC(c1ccccn1)C*)c1ccccn1)c1ccccn1,4.5101
