enumeration,value
*C*,6.8972
CC(*)C*,6.5196
*C(CC)C*,6.517
*C(CCC)C*,6.7336
*C(CC(C)C)C*,6.7394
C1CC(*)CC1C*,6.9613
*CC(*)CCCC1CCCCC1,6.3703
C(C=C*)CC*,4.6373
C(C=C*)C*,5.2133
*C=C*,1.3994
C(C)(CC*)C(C)*,6.6781
*C=CCCCCCCCC*,5.8277
C(CCCCCC*)CCCC=C*,5.8787
C(CCC*)CCC=C*,5.8437
C(CCC*)C=C*,5.7726
C1CC(*)C1*,6.0897
C(C=C*)CCCC*,5.8026
C1(C=C*)CCC(*)C1,5.4117
*CC(C(C)CC)C=C*,4.9643
*C1(C*)CCCCC1,6.3291
c1ccc(C(=O)OC)c(C(*)C*)c1,5.0713
c1ccc(Cl)c(C(*)C*)c1,2.4139
c1cc(C)cc(C(*)C*)c1,5.185
c1c(CCCCCC)ccc(C(*)C*)c1,4.9872
c1(CCCCCCCCCCCCCCCC)ccc(C(*)C*)cc1,5.0097
O1CCN(CCC(O)c2ccc(C(*)C*)cc2)CC1,3.8601
C1CCN(CCC(=O)c2ccc(C(*)C*)cc2)CC1,2.7084
C(COC(=O)c1ccc(C(*)C*)cc1)(C)C,4.9663
C(CC)CCCOC(=O)c1ccc(C(*)C*)cc1,4.7078
c1ccc(CC(=O)c2ccc(C(*)C*)cc2)cc1,3.6382
c1cc(C(*)C*)ccc1C(c1ccccc1)=O,3.5289
c1c(F)ccc(C(*)C*)c1,2.0489
*CC(*)c1ccc(C)cc1C,4.8585
*CC(*)c1cc(C)ccc1C,4.9137
*CC(*)c1cc(Cl)ccc1Cl,2.6378
*CC(*)c1cc(C)ccc1F,4.5949
c1(Br)cc(C(*)C*)c(OCCCC)cc1,4.5078
c1(Br)cc(C(*)C*)c(OCC)cc1,4.458
c1(Br)cc(C(*)C*)c(OC(C)C)cc1,4.6199
*CC(*)c1cc(C)c(C)cc1,4.4861
*CC(*)c1cc(C)c(Cl)cc1,4.762
*CC(*)c1cc(Cl)c(Cl)cc1,2.3069
*C(F)(F)C(c1ccccc1)(F)*,5.6014
O1CCN(CCC(=O)c2ccc(C(*)C*)cc2)CC1,3.2629
c1c2c(cccc2)cc(C(*)C*)c1,3.6351
c1cnccc1C(*)C*,2.5368
c1cc(C)nc(C(*)C*)c1,5.0497
c1c(C)ncc(C(*)C*)c1,4.8601
*CC(*)n1nc2ccccc2c1,3.7572
c1cc(C(CC(C#N)(*)C(OC)=O)C*)ccc1,5.5884
OC(*)C*,6.3648
*C(C#N)C*,7.7741
*C(C)(C*)C#N,7.6319
c1c2c(ccc1)n(C(*)C*)c1ccccc21,4.0449
*C(OC)C*,5.5335
C(CCCC)OC(*)C*,5.9056
*C(OC(=O)C)C*,6.8523
*C(OC(CC)=O)C*,6.5454
*C(OC=O)C*,6.9603
*CC(*)OCc1ccccc1,5.0639
O=C(C(F)(F)F)OC(*)C*,6.7842
C(C*)(C=C*)OC,5.0501
*C=CCC(C(=O)OC)(CC*)C,5.4945
*CC(*)CCc1ccc(C)cc1,5.1686
C(CCCCCCCOC(*)C*)CCCC,5.4919
C(*)(C(C)*)OC,5.3260000000000005
C1(*)(C#N)CC(*)C1,6.8104
C(O)(*)C(C)*,6.0639
O=C(C(C)(C)C)C(*)C*,5.3334
*CC(*)C(c1ccccc1O)=O,1.7298
OC(*)*,6.4482
*C(SCC)C*,4.9086
FC(OC(F)(C(F)(F)F)F)(*)C(F)(*)F,8.7447
FC(F)(OC(C(F)(F)*)*)F,8.5308
O(C(F)(F)F)C(F)(*)C(*)F,8.1265
*C(F)(F)C(OC(F)(F)F)(F)*,8.2947
*C(SC)C*,5.023
*C(F)(C*)C(=O)C,4.643
c1(C(=O)C(*)C*)ccc(Br)c(OC)c1,3.8338
c1(C(=O)C(*)C*)ccc(CC)cc1,4.27
C(Oc1ccc(C(=O)OC(*)C*)cc1)(=O)C,4.6237
O=C(c1cc(Br)ccc1)OC(*)C*,4.2289
O=C(c1cc(Cl)ccc1)OC(*)C*,1.7974
FC(F)(C(F)(C(=O)OC(*)C*)F)C(F)(F)F,6.4207
O=C(C(F)(C(F)(F)F)F)OC(*)C*,6.6309
FC(F)(C(C(F)(C(=O)OC(*)C*)F)(F)F)C(F)(F)F,6.4713
O=C(c1ccc(OC)cc1)OC(*)C*,4.435
