enumeration,value
CC(*)C*,6.185
FC(*)C*,7.6332
*C(F)(F)C*,8.1531
C(F)(*)(C(F)*)F,8.5986
FC(C(*)(F)F)(CC*)F,9.0178
*OC*,7.5826
*OCC*,7.0344
O(C(C*)C(F)(F)F)*,7.9431
C(CC*)O*,6.904
C(c1ccc(*)cc1)c1ccc(O*)cc1,6.1428
C(OCO*)CCCC*,6.9158
N(CCOCCOCCNC(OCC*)=O)C(O*)=O,7.1012
c1c2c(nc(*)o2)cc2nc(-c3ccc(*)cc3)oc12,5.6689
C(CCS*)CC*,5.7733
c1c(S*)ccc(*)c1,6.1739
C(CCCC(=O)O*)C(OCC*)=O,7.8277
C(CCCCCC(O*)=O)C(OCC*)=O,7.7636
c1(C(OCC*)=O)ccc(C(=O)O*)cc1,7.1539
c1cc(C(=O)OCCCC*)ccc1C(O*)=O,7.6583
O=C(O*)C*,8.2018
C(C(=O)O*)CCCC*,7.457999999999999
C(CC*)(=O)O*,7.7853
*Oc1ccc(CC(=O)*)cc1,6.3961
*Cc1ccc(C(=O)O*)cc1,7.178999999999999
C(CC*)(=O)N*,6.8452
C(C(N*)=O)CCCCC*,6.5849
O=C(N*)C*,7.2525
c1(C(=O)*)cc(N*)ccc1,6.1179
*Cc1ccc(C(=O)N*)cc1,6.8713
C(Nc1cc(NC(OCCCCC*)=O)ccc1C)(=O)O*,5.1674
*OC(=O)c1ccc(C(=O)*)cc1,7.8184
O(C(O*)=O)CCCCC*,7.4318
*Oc1ccc(OC(=O)*)cc1,6.5915
C(CC*)N*,5.8246
*c1ccc(C(=O)c2ccc(O*)cc2)cc1,6.382999999999999
c1c(*)ccc(*)c1,5.0935
c1(-c2ccc(*)cc2)ccc(CC*)cc1,5.6867
*OC1C(CO)OC(*)C(O)C1O,6.8689
C(O*)c1ccc(C*)cc1,6.5689
O(C(O*)=O)CCOCC*,7.5966
C(F)(F)(C(C(F)(F)F)(CC*)O*)F,8.3643
c1cc(*)sc1*,4.5257
O=C(*)c1ccc(-c2ccc(O*)cc2)cc1,6.2671
c1c(N*)ccc(*)c1,4.9916
c1cc(*)nc(*)c1,6.0452
c1(C(CC(CC(c2ccccc2)CC(c2ccccc2)C*)c2ccccc2)*)ccccc1,3.5577
*c1sc(-c2ccc(*)s2)cc1,4.5257
c12oc(*)nc1ccc(-c1oc3ccc(*)cc3n1)c2,5.6338
c1(C*)ccc(C*)cc1,6.2134
C(CCCC(=O)OCCCC(OCCCCCCCCC(OCCC*)=O)=O)CCCCOC(=O)*,7.4162
*C(CC(CC(c1ccccn1)C*)c1ccccn1)c1ccccn1,6.2005
c1(*)sc(-c2ccc(-c3sc(C(*)=S)cc3)s2)cc1,5.4248
s1c(-c2sc(O*)cc2)ccc1-c1ccc(*)s1,4.7769
c1c(-c2ccc(*)s2)sc(OC(*)=S)c1,5.7571
C(=S)(c1sc(O*)cc1)c1ccc(*)s1,6.0778
*C(OC(c1ccc(*)s1)=S)=S,6.3892
O(c1sc(*)cc1)c1sc(O*)cc1,5.0541
c1cc(*)sc1OC(=S)O*,6.1007
s1c(*)ccc1-c1sc(-c2ccc(-c3ccc(*)cc3)s2)cc1,4.7302
*c1ccc(-c2sc(-c3sc(O*)cc3)cc2)cc1,5.6406
