enumeration,value
CC(*)C*,1.6081
FC(*)C*,1.6305
*C(F)(F)C*,1.6122
C(F)(*)(C(F)*)F,1.5796
FC(C(*)(F)F)(CC*)F,1.5774
*OC*,1.6434
*OCC*,1.6377
O(C(C*)C(F)(F)F)*,1.4843
C(CC*)O*,1.6476
C(c1ccc(*)cc1)c1ccc(O*)cc1,1.8035
C(OCO*)CCCC*,1.6043
N(CCOCCOCCNC(OCC*)=O)C(O*)=O,1.6526
c1c2c(nc(*)o2)cc2nc(-c3ccc(*)cc3)oc12,2.3284
c1c(S*)ccc(*)c1,1.9808
C(CCCC(=O)O*)C(OCC*)=O,1.6581
C(CCCCCC(O*)=O)C(OCC*)=O,1.6577
c1(C(OCC*)=O)ccc(C(=O)O*)cc1,1.8075
c1cc(C(=O)OCCCC*)ccc1C(O*)=O,1.7603
O=C(O*)C*,1.6701
C(C(=O)O*)CCCC*,1.6432
C(CC*)(=O)O*,1.6631
*Oc1ccc(CC(=O)*)cc1,1.7375
*Cc1ccc(C(=O)O*)cc1,1.8426
C(CC*)(=O)N*,1.7036
C(C(N*)=O)CCCCC*,1.6565
O=C(N*)C*,1.7337
c1(C(=O)*)cc(N*)ccc1,1.9618
*Cc1ccc(C(=O)N*)cc1,1.8171
C(Nc1cc(NC(OCCCCC*)=O)ccc1C)(=O)O*,1.7297
O=C1N(CCCCCC*)C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(*)C4=O)=O)cc21,1.8137
*OC(=O)c1ccc(C(=O)*)cc1,1.869
O(C(O*)=O)CCCCC*,1.6374
*Oc1ccc(OC(=O)*)cc1,1.7876
C(CC*)N*,1.6776
*c1ccc(C(=O)c2ccc(O*)cc2)cc1,1.9173
c1c(*)ccc(*)c1,2.0982
c1(-c2ccc(*)cc2)ccc(CC*)cc1,1.8719999999999999
*OC1C(CO)OC(*)C(O)C1O,1.6879
C(O*)c1ccc(C*)cc1,1.7774
O(C(O*)=O)CCOCC*,1.6326
C(F)(F)(C(C(F)(F)F)(CC*)O*)F,1.5724
O=C(*)c1ccc(-c2ccc(O*)cc2)cc1,1.9035
c1c(N*)ccc(*)c1,2.124
c1cc(*)nc(*)c1,1.9952
c1(C(CC(CC(c2ccccc2)CC(c2ccccc2)C*)c2ccccc2)*)ccccc1,1.6244
c12oc(*)nc1ccc(-c1oc3ccc(*)cc3n1)c2,2.116
c1(C*)ccc(C*)cc1,1.9676
C(CCCC(=O)OCCCC(OCCCCCCCCC(OCCC*)=O)=O)CCCCOC(=O)*,1.6306
*C(CC(CC(c1ccccn1)C*)c1ccccn1)c1ccccn1,1.7108
s1c(-c2sc(O*)cc2)ccc1-c1ccc(*)s1,2.2729
c1c(-c2ccc(*)s2)sc(OC(*)=S)c1,2.2317
C(=S)(c1sc(O*)cc1)c1ccc(*)s1,2.0575
*C(OC(c1ccc(*)s1)=S)=S,2.2971
O(c1sc(*)cc1)c1sc(O*)cc1,1.867
c1cc(*)sc1OC(=S)O*,1.9459
s1c(*)ccc1-c1sc(-c2ccc(-c3ccc(*)cc3)s2)cc1,2.9445
*c1ccc(-c2sc(-c3sc(O*)cc3)cc2)cc1,2.1712
c1(*)ccc(-c2ccc(-c3ccc(-c4ccc(*)cc4)s3)cc2)s1,2.033
c1c(*)ccc(-c2ccc(-c3ccc(C(*)=S)cc3)s2)c1,2.3194
c1cc(-c2sc(-c3ccc(O*)cc3)cc2)ccc1*,2.1267
*c1sc(C(=S)c2ccc(-c3ccc(*)cc3)s2)cc1,2.8943
*c1ccc(Oc2ccc(-c3ccc(*)cc3)s2)s1,2.1868
c1c(-c2ccc(*)cc2)sc(OC(*)=S)c1,2.1962
c1cc(-c2ccc(-c3sc(O*)cc3)cc2)ccc1*,2.1534
c1c(*)sc(-c2ccc(-c3ccc(-c4ccc(*)cc4)cc3)cc2)c1,2.2986
c1cc(*)ccc1-c1ccc(-c2ccc(C(*)=S)cc2)cc1,2.0777
c1c(-c2ccc(-c3ccc(O*)cc3)cc2)ccc(*)c1,1.9034
*c1ccc(-c2ccc(C(=S)O*)cc2)cc1,2.0445
c1(*)ccc(C(c2sc(C(*)=S)cc2)=S)cc1,2.4956
C(=S)(c1sc(O*)cc1)c1ccc(*)cc1,2.0044
c1cc(C(*)=S)ccc1C(c1ccc(*)cc1)=S,1.8941
*c1ccc(C(=S)c2ccc(O*)cc2)cc1,2.0867
*C(OC(c1ccc(*)cc1)=S)=S,2.1589
O(c1ccc(*)cc1)c1sc(O*)cc1,1.8525
C(=S)(Oc1ccc(*)cc1)c1ccc(*)s1,2.2131
*OC(=S)Oc1ccc(*)cc1,1.8793
