enumeration,value
*C*,47.8
CC(*)C*,44.47
*C(CC)C*,34.04
*C(CCC)C*,20.01
*C(CC(C)C)C*,21.64
C(CC(C)*)CCCCC*,31.47
C(CCCC)CC(*)C*,75.06
C(C=C*)CC*,14.57
C(C=C*)C*,13.1
C(CCC*)CCC=C*,22.67
c1ccccc1C(*)C*,27.37
c1c(C)ccc(C(*)C*)c1,18.59
*CC(*)(c1ccc(C)cc1)C,34.09
c1c(O)ccc(C(*)C*)c1,11.0
OC(*)C*,39.089205
C(C)CCCCCCCCCC(=O)OC(*)C*,12.02
C(CCCCCCCCCCC(=O)OC(*)C*)CCCC,33.35
C(CCCCCCCCCC(=O)OC(*)C*)CCCCCCC,37.02
*C(C)(C*)C#N,8.0
O=C(OC(C)C)C(*)C*,53.86
C(CCCC)CCCCCCCOC(=O)C(*)C*,17.77
C(CCCCCCCCCOC(=O)C(*)C*)CCCC,27.01
C(CCCCCCCCC)CCCCCCCCOC(=O)C(*)C*,39.64
C(OC(=O)C(*)C*)CCCCCCCCCCCCCCCCCCCCC,43.74
*C(C)(C*)C(OC)=O,12.63789474
C(CCCCCCCOC(=O)C(*)(C)C*)CCCC,3.98
C(CCCCCCCCOC(=O)C(*)(C)C*)CCCCCCC,17.37
O(C(=O)C(*)(C)C*)CCCCCCCCCCCCCCCCCC,21.64
C(CCCC)CCCCCCCNC(=O)C(*)C*,1.76
C(CCCCCCCCCNC(=O)C(*)C*)CCCC,9.79
C(CCCCCCCCCCCNC(=O)C(*)C*)CCCC,16.73
C(CCCCCCCCC)CCCCCCCCNC(=O)C(*)C*,21.61
C(NC(=O)C(*)C*)CCCCCCCCCCCCCCCCCCCCC,35.71
*C(F)(F)C*,41.3664625
*C(Cl)(Cl)C*,67.76
C(F)(*)(C(F)*)F,72.97
FC(C(Cl)(F)*)(F)*,77.15
C(CC*)=C(Cl)*,90.11
FC(C(*)(F)F)(CC*)F,43.69
C(CC*)=C(C)*,52.26
C(C=C*)(C)C*,62.19
CC(C=C(C)*)C*,45.53
*OC*,97.74314666
*OCC*,70.6655082
CC(O*)C*,77.61
C(C(C*)O*)Cl,51.33
O(C(C*)C(C)(C)C)*,20.98
C(CC*)O*,55.46
CC(C)(C*)CO*,47.31
C(O)C(CO*)(CO)C*,90.22
C(OCC)C(CO*)(COCC)C*,26.85
C(CC*)CO*,17.54872941
C(CC*)CCCO*,93.3
C(CCO*)CCCCC*,92.75
c1(*)cc(C)c(O*)c(C)c1,62.833401
*Oc1c(OC)cc(*)cc1OC,19.88
c1c(-c2c(O*)c(-c3ccccc3)cc(*)c2)cccc1,73.4
O(CC*)CO*,62.84
C(CC*)COCO*,65.43
c1(C(OCC*)=O)ccc(O*)cc1,67.44
c1(C(OCCOC(=O)c2ccc(O*)cc2)=O)ccc(OCC*)cc1,96.09
C(NCCCCCCNC(=O)C*)(CO*)=O,31.96
N(CCCCCCNC(OCCOCC*)=O)C(O*)=O,56.78
C(CCCNC(OCCOCCOCC*)=O)CCNC(O*)=O,35.73
c1(C(=O)OC(=O)C*)ccc(C(=O)OC(COc2ccc(O*)cc2)=O)cc1,47.87
C(OCCOCC*)COCCOC(NCCCCCCNC(O*)=O)=O,25.61
C(OCCOCCOCC*)COCCOCCOC(=O)NCCCCCCNC(O*)=O,22.98
c1(*)ccc(C(c2ccc(Oc3ccc(O*)cc3)cc2)=O)cc1,31.10578095
C(C)C(CO*)(CC)C*,41.8
O(CC*)CC(O*)=O,55.93
O=C(c1ccc(C(OCCOCC*)=O)cc1)O*,38.53
c1(Oc2ccc(O*)cc2)ccc(OC(c2cc(C(=O)*)ccc2)=O)cc1,29.77
CC(CC)(CO*)C*,54.15
CC(CO)(CO*)C*,41.42
C(OC=O)C(CO*)(COC=O)C*,53.4
c1cc(Oc2ccc(C(=O)c3cc(C(=O)c4ccc(*)cc4)ccc3)cc2)ccc1O*,72.53
c1c(*)ccc(C(c2ccc(Oc3ccc(O*)c(C)c3)cc2)=O)c1,30.95
C(OCCOc1ccc(C(=O)Oc2ccc(OCCCCCCCCCC*)cc2)cc1)COCCOc1ccc(C(Oc2ccc(O*)cc2)=O)cc1,16.51
c1c(NC(=O)c2ccc(Oc3ccc(Oc4ccc(C(Nc5ccc(Oc6ccc(O*)cc6)cc5)=O)cc4)cc3)cc2)ccc(*)c1,60.74
